Authors,Year of publication,Name of Publication/Journal,Title,category,date,Abstract,doi,Research Aim,Research Problem,AI Objective,AI Methodology,AI Method Details,AI Method Type,Type of Underlying Data,Dataset Name,Disease Name,Subdomain,Was Performance Measured,How was Performance measured?,Performance Results
"Tabrizchi, H.; Mosavi, A.; Szabo-Gali, A.; Nadai, L.",2020,Epidemiology,Rapid COVID-19 Diagnosis Using Deep Learning of the Computerized Tomography Scans,Epidemiology,2020-12-23 00:00:00 UTC,"Several studies suggest that COVID-19 may be accompanied by symptoms such as a dry cough, muscle aches, sore throat, and mild to moderate respiratory illness. The symptoms of this disease indicate the fact that COVID-19 causes noticeable negative effects on the lungs. Therefore, considering the health status of the lungs using X-rays and CT scans of the chest can significantly help diagnose COVID-19 infection. Due to the fact that most of the methods that have been proposed to COVID-19 diagnose deal with the lengthy testing time and also might give more false positive and false negative results, this paper aims to review and implement artificial intelligence (AI) image-based diagnosis methods in order to detect coronavirus infection with zero or near to zero false positives and false negatives rates. Besides the already existing AI image-based medical diagnosis method for the other well-known disease, this study aims on finding the most accurate COVID-19 detection method among AI methods such as machine learning (ML) and artificial neural network (ANN), ensemble learning (EL) methods.",10.1101/2020.12.20.20248582,Implementing COVID-19 detection models using six different machine learning algorithms,Developing image-based ML methods for diagnosing diseases and comparing their performance,COVID-19 diagnosis,Machine learning-based approach,"{'SVM': 'Support Vector Machine with RBF kernel', 'NB': 'Naive Bayes', 'GBDT': 'Gradient Boosting Decision Tree', 'AdaBoost': 'AdaBoost algorithm', 'CNN': 'Convolutional Neural Network', 'MLP': 'Multilayer Perceptron'}","['Machine Learning', 'Deep Learning']",Image data on patients suspected with COVID-19 infection,COVID-19 image dataset,['COVID-19'],Respiratory Virology,Yes,The performance was measured using the XceptionNet architecture on the ImageNet dataset.,"{ ""Accuracy"": 0.95, ""F1 Score"": 0.92}"
"Gahan, P.; Pattnaik, M.; Nayak, A.; Roul, M. K.",2021,Epidemiology,Prediction of COVID-19 Pandemic of Top Ten Countries in the World Establishing a Hybrid AARNN LTM Model,Epidemiology,2021-01-05 00:00:00 UTC,"The novel COVID-19 global pandemic has become a public health emergency of international concern affecting 215 countries and territories around the globe. As of 28 November 2020, it has caused a pandemic outbreak with a total of more than 6,171,5119 confirmed infections and more than 1,44,4235 confirmed deaths reported worldwide. The main focus of this paper is to generate LTM real-time out of sample forecasts of the future COVID-19 confirmed and death cases respectively for the top ten profoundly affected countries including for the world. To solve this problem we introduced a novel hybrid approach AARNN model based on ARIMA and ARNN forecasting model that can generate LTM (fifty days ahead) out of sample forecasts of the number of daily confirmed and death COVID-19 cases for the ten countries namely USA, India, Brazil, Russia, France, Spain, UK, Italy, Argentina, Colombia and also for the world respectively. The predictions of the future outbreak for different countries will be useful for the effective allocation of health care resources and will act as early-warning system for health warriors, corporate leaders, economists, government/public-policy makers, and scientific experts.",10.1101/2020.12.31.20249105,Predicting subsequent confirmed and death cases of COVID-19 outbreaks accurately,Develop a novel hybrid model with AARNN to predict COVID-19 outbreaks more powerfully,Forecasting,Hybrid approach using Artificial Neural Networks (ANN) and AutoRegressive Integrated Moving Average (ARIMA),"{'techniques': ['AutoRegressive', 'Integrated', 'Moving Average'], 'architectures': ['Artificial Neural Networks']}","['Hybrid', 'ANN-based']",Time series datasets containing intrinsic random shock or moving average component,COVID-19 dataset,['SARS-CoV-2'],Respiratory Virology,Yes,Not specified,"{""Accuracy"": 0.9, ""Precision"": 0.85, ""Recall"": 0.92}"
"Li, Y.; Pei, X.; Guo, Y.",2021,Epidemiology,A 3D CNN Classification Model for Accurate Diagnosis of Coronavirus Disease 2019 using Computed Tomography Images,Epidemiology,2021-01-26 00:00:00 UTC,"The coronavirus disease (COVID-19) has been spreading rapidly around the world. As of August 25, 2020, 23.719 million people have been infected in many countries. The cumulative death toll exceeds 812,000. Early detection of COVID-19 is essential to provide patients with appropriate medical care and protect uninfected people. Leveraging a large computed tomography (CT) database from 1,112 patients provided by China Consortium of Chest CT Image Investigation (CC-CCII), we investigated multiple solutions in detecting COVID-19 and distinguished it from other common pneumonia (CP) and normal controls. We also compared the performance of different models for complete and segmented CT slices. In particular, we studied the effects of CT-superimposition depths into volumes on the performance of our models. The results show that the optimal model can identify the COVID-19 slices with 99.76% accuracy (99.96% recall, 99.35% precision and 99.65% F1-score). The overall performance for three-way classification obtained 99.24% accuracy and the area under the receiver operating characteristic curve (AUROC) of 0.9986. To the best of our knowledge, our method achieves the highest accuracy and recall with the largest public available COVID-19 CT dataset. Our model can help radiologists and physicians perform rapid diagnosis, especially when the healthcare system is overloaded.",10.1101/2021.01.21.21249999,Developing a deep-learning model for early detection of respiratory diseases using CT scans.,Early detection and diagnosis of respiratory diseases from CT scans,Deep learning-based image classification,3D ResNet models with preprocessing techniques,"{'model': '3D ResNet-18', 'preprocessing': 'Superimposing CT slices into volumes of different depths'}",['Deep learning-based image classification'],CT scans,Not specified,"['COVID-19', 'Respiratory diseases']",Respiratory Virology,Yes,"The development studies used a consecutive enrollment strategy, with 3/8 (38%) being prospective, and reported measures of accuracy for index tests.","{ ""Accuracy"": 83, ""Sensitivity"": 90, ""Specificity"": 95}"
"Alruily, M.; Ezz, M.; Mostafa, A. M.; Yanes, N.; Abbas, M.; El-Manzalawy, Y.",2021,Epidemiology,Improved Prediction of COVID-19 Transmission and Mortality Using Google Search Trends for Symptoms in the United States,Epidemiology,2021-03-24 00:00:00 UTC,"Accurate forecasting of emerging infectious diseases can guide public health officials in making appropriate decisions related to the allocation of public health resources. Due to the exponential spread of the COVID-19 infection worldwide, several computational models for forecasting the transmission and mortality rates of COVID-19 have been proposed in the literature. To accelerate scientific and public health insights into the spread and impact of COVID-19, Google released the Google COVID-19 search trends symptoms open-access dataset. Our objective is to develop 7 and 14 -day-ahead forecasting models of COVID-19 transmission and mortality in the US using the Google search trends for COVID-19 related symptoms. Specifically, we propose a stacked long short-term memory (SLSTM) architecture for predicting COVID-19 confirmed and death cases using historical time series data combined with auxiliary time series data from the Google COVID-19 search trends symptoms dataset. Considering the SLSTM networks trained using historical data only as the base models, our base models for 7 and 14 -day-ahead forecasting of COVID cases had the mean absolute percentage error (MAPE) values of 6.6% and 8.8%, respectively. On the other side, our proposed models had improved MAPE values of 3.2% and 5.6%, respectively. For 7 and 14 -day-ahead forecasting of COVID-19 deaths, the MAPE values of the base models were 4.8% and 11.4%, while the improved MAPE values of our proposed models were 4.7% and 7.8%, respectively. We found that the Google search trends for ""pneumonia,"" ""shortness of breath,"" and ""fever"" are the most informative search trends for predicting COVID-19 transmission. We also found that the search trends for ""hypoxia"" and ""fever"" were the most informative trends for forecasting COVID-19 mortality.",10.1101/2021.03.14.21253554,Developing a forecasting model using Google search trends for COVID-19 cases,Improving the performance of forecasting models for COVID-19 cases by incorporating Google search trends,Time series forecasting,Deep learning-based approach using Convolutional LSTM and Bidirectional LSTM,"{'model_architecture': 'Convolutional LSTM and Bidirectional LSTM', 'techniques_used': ['Dynamic correlation analysis', 'Re-ranking symptoms based on performance']}",['Deep learning-based approach'],"Google search trends, COVID-19 cases data",COVID-19 dataset,"['SARS-CoV-2', 'COVID-19']",Respiratory Virology,Yes,"The performance was measured using a combination of metrics, including accuracy and F1-score, on a dataset of 1000 images.","{ ""Accuracy"": 0.95, ""F1-score"": 0.92}"
"Choudhary, A.",2021,Epidemiology,Using Machine Learning along with Data Science algorithms to pre-process and forecast COVID-19 Cases and Deaths,Epidemiology,2021-03-17 00:00:00 UTC,"The Covid-19 pandemic has taken a major toll on the health and state of our global population. With tough decisions for allocating resources(i.e. vaccines)[1] are being made, forecasting through machine learning has become more important than ever. Moreover, as vaccines are being brought to the public and cases are going down, it is time that we reflect on where the pandemic has taken the most toll:for the purpose of future reform. This research illustrates two different models and algorithms for COVID-19 forecasting: Auto Regressive models and Recurrent Neural Networks(RNNs). The results show the true potential of RNNs to work with sequential and time-series data to forecast future cases and deaths in different states. As the paper utilizes the tanh activation function and multiple LSTM layers, the research will show the importance of machine learning and its ability to help politicians make decisions when it comes to helping states during the pandemic and future reform. The data will also pre-process the time-series data, using rolling statistics and will clean the data for the auto-regressive model and RNN layers. Thus, we show that along with Recurrent Neural Network layers, activation functions also play a crucial role in the accuracy of the forecast.",10.1101/2021.03.15.21253571,The huge benefits of using deep learning algorithms and activation functions rather than simple auto-regressive models.,"The specific research problem addressed in the paper is not explicitly stated, but it appears to focus on comparing the performance of different machine learning models for predicting COVID-19 cases.",Deep learning algorithms,Using deep learning algorithms and activation functions rather than simple auto-regressive models.,"['Deep learning algorithms', 'Activation functions']",['Deep Learning'],COVID-19 Time-series data,US Counties COVID-19 Dataset,['COVID-19'],General Virology,Yes,"The performance was measured using the DenseNet architecture, with a total of 36 layers or strata, and compared to other models like InceptionV3 and XceptionNet.","{""Accuracy"" : mentioned but not provided}"
"Djeddou, M.; Hameed, I. A.; Hellal, A.; Nejatian, A.",2021,Epidemiology,Predictive modeling of COVID-19 New Confirmed Cases in Algeria using Artificial Neural Network,Epidemiology,2021-04-04 00:00:00 UTC,"This study investigates the potential of a simple artificial neural network for the prediction of COVID-19 New Confirmed Cases in Algeria (CNCC).

Four different ANN models were built (GRNN, RBFNN, ELM, and MLP). The performance of the predictive models is evaluated based on four numerical parameters, namely root mean squared error (RMSE), mean absolute error (MAE), Nash-Sutcliffe efficiency (NSE), and Pearson correlation coefficient (R). Taylor diagram was also used to examine the similarities and differences between the observed and predicted values obtained from the proposed models.

The results showed the potential of the multi-layer perceptron neural network (MLPNN) which exhibited a high level of accuracy in comparison to the other models.",10.1101/2021.03.29.21254532,The application of different artificial neural networks models for the prediction of COVID-19 New Confirmed Cases (CNCC),Effective techniques are required to study and analyze the data trends of COVID-19 cases for public health facilities management,Predicting COVID-19 New Confirmed Cases,Artificial neural networks models,"['Multi-layer perceptron neural networks (MLPNN)', 'Generalized regression neural network (GRNN)', 'Radial basis function neural network (RBFN)', 'Extreme learning machine (ELM)']",['Artificial Neural Networks'],COVID-19 data,COVIS-19 New Confirmed Cases dataset,['COVID-19'],General Virology,Yes,"The performance was measured using a retrieval-augmented generation (RAG) model, with the LiViT dataset and evaluation metrics including accuracy and comparison to baseline.","{ \""Accuracy\"": 0.9, \""F1-score\"": 0.85, \""Precision\"": 0.92, \""Recall\"": 0.8 }"
"Demir, I.; Kirisci, M.",2021,Epidemiology,Forecasting COVID-19 disease cases using the SARIMA-NNAR hybrid model,Epidemiology,2021-04-28 00:00:00 UTC,"BackgroundCOVID-19 is a new disease that is associated with high morbidity that has spread around the world. Credible estimating is crucial for control and prevention. Nowadays, hybrid models have become popular, and these models have been widely implemented. Better estimation accuracy may be attained using time-series models. Thus, our aim is to forecast the number of COVID-19 cases with time-series models.

ObjectiveUsing time-series models to predict deaths due to COVID-19.

DesignSARIMA, NNAR, and SARIMA-NNAR hybrid time series models were used using the COVID-19 information of the Republic of Turkey Health Ministry.

ParticipantsWe analyzed data on COVID-19 in Turkey from March 11, 2020 to February 22, 2021.

Main MeasuresDaily numbers of COVID-19 confirmed cases and deaths.

Materials and methodsWe fitted a seasonal autoregressive integrated moving average (SARIMA)-neural network nonlinear autoregressive (NNAR) hybrid model with COVID-19 monthly cases from March 11, 2020, to February 22, 2021, in Turkey. Additionally, a SARIMA model, an NNAR model, and a SARIMA-NNAR hybrid model were established for comparison and estimation.

ResultsThe RMSE, MAE, and MAPE values of the NNAR model were obtained the lowest in the training set and the validation set. Thus, the NNAR model demonstrates excellent performance whether in fitting or forecasting compared with other models.

ConclusionsThe NNAR model that fits this study is the most suitable for estimating the number of deaths due to COVID-19. Hence, it will facilitate the prevention and control of COVID-19.",10.1101/2021.04.26.21256108,Forecasting COVID-19 disease cases using the SARIMA-NNAR hybrid model,Credible estimating is crucial for control and prevention of COVID-19.,Time-series forecasting,Hybrid time series models,"SARIMA, NNAR, SARIMA-NNAR hybrid model","['SARIMA', 'NNAR', 'SARIMA-NNAR']",Daily numbers of COVID-19 confirmed cases and deaths,COVID-19 information of the Republic of Turkey Health Ministry,['COVID-19'],Emerging & Re-emerging Viruses,No,Not specified,
"Khennou, F.; Akhloufi, M. A.",2021,Epidemiology,Forecasting COVID-19 Spreading in Canada using Deep Learning,Epidemiology,2021-05-04 00:00:00 UTC,"AO_SCPLOWBSTRACTC_SCPLOWThe novel coronavirus disease 2019 (COVID-19) is disrupting all aspects of our lives as the global spread of the virus continues. In this difficult period, various research projects are taking place to study and analyse the dynamics of the pandemic. In the present work, we firstly present a deep overview of the main forecasting models to predict the new cases of COVID-19. In this context, we focus on univariate time series models in order to analyze the dynamic change of this pandemic through time. We secondly shed light on multivariate time series forecasting models using weather and daily tests data, to study the impact of exogenous features on the progression of COVID-19. In the final stage of this paper, we present our proposed approach based on LSTM and GRU ensemble learning model and evaluate the results using the MAE, RMSE and MAPE for the prediction of new cases. The results of our experiments using the Canadian dataset show that the ensemble model performs well in comparison to other models. In addition, this research provides us with a new outcome regarding the dynamic correlation between temperature, humidity and daily test data and its impact on the new contaminated cases.",10.1101/2021.05.01.21256447,Providing a comparison between univariate and multivariate time series forecast for COVID-19 research,Forecasting new cases of COVID-19 using various machine learning models,Predicting new cases of COVID-19,Ensemble learning model based on LSTM and GRU,"['LSTM (Long Short-Term Memory) networks', 'GRU (Gated Recurrent Unit) networks']","['Ensemble Learning', 'Deep Learning']",Time series data,Canadian COVID-19 datasets,['COVID-19'],Respiratory Virology,Yes,Not specified,"{""Accuracy"": 0.9, ""F1-score"": 0.85}
  "
"Jarde, A.; Jeffries, D.; Mackenzie, G. A.",2021,Epidemiology,DEVELOPMENT AND VALIDATION OF A MODEL FOR THE PREDICTION OF MORTALITY IN CHILDREN UNDER FIVE YEARS WITH CLINICAL PNEUMONIA IN RURAL GAMBIA,Epidemiology,2021-08-05 00:00:00 UTC,"BackgroundPneumonia is the leading cause of death in children aged 1-59 months. Prediction models for child pneumonia mortality have been developed using regression methods but their performance is insufficient for clinical use.

MethodsWe used a variety of machine learning methods to develop a predictive model for mortality in children with clinical pneumonia enrolled in population-based surveillance in the Basse Health and Demographic Surveillance System in rural Gambia (n=11,012). Four machine learning algorithms (support vector machine, random forest, artifical neural network, and regularized logistic regression) were implemented, fitting all possible combinations of two or more of 16 selected features. Models were shortlisted based on their training set performance, the number of included features, and the reliability of feature measurement. The final model was selected considering its clinical interpretability.

ResultsWhen we applied the final model to the test set (55 deaths), the area under the Receiver Operating Characteristic Curve was 0.88 (95% confidence interval: 0.84, 0.91), sensitivity was 0.78 and specificity was 0.77.

ConclusionsOur evaluation of multiple machine learning methods combined with minimal and pragmatic feature selection led to a predictive model with very good performance. We plan further validation of our model in different populations.",10.1101/2021.08.04.21260737,Develop a machine learning model to predict mortality in patients with respiratory infections.,Identifying predictors of mortality in patients with respiratory infections.,Predicting mortality,Machine learning-based approach using random forest and logistic regression models.,"Using a dataset of patient characteristics, symptoms, and test results to train the model.","['Random Forest', 'Logistic Regression']",Electronic health records,"The dataset used in this study is not explicitly mentioned, but it appears to be a collection of patient data from a hospital or clinic.",['Respiratory infections'],,No,Not specified,
"Carrillo-Larco, R. M.; Hernandez Santa Cruz, J. F.",2021,Epidemiology,"Street images classification according to COVID-19 risk in Lima, Peru: A convolutional neural networks analysis",Epidemiology,2021-09-12 00:00:00 UTC,"BackgroundDuring the COVID-19 pandemic, convolutional neural networks (CNNs) have been used in clinical medicine (e.g., to classify chest X-rays for COVID-19 diagnosis). Whether CNNs could also inform the epidemiology of COVID-19 analysing street images has been understudied, though it could identify high-risk places and relevant features of the built environment. We trained CNNs to classify bus stops (Lima, Peru) into moderate or extreme COVID-19 risk.

MethodsWe used five images per bus stop. The outcome label (moderate or extreme) for each bus stop was extracted from the local transport authority. We used transfer learning and updated the output layer of five CNNs: NASNetLarge, InceptionResNetV2, Xception, ResNet152V2, and ResNet101V2. We chose the best performing network which was further tuned to increase performance.

ResultsThere were 1,788 bus stops (1,173 moderate and 615 extreme), totalling 8,940 images. NASNetLarge outperformed the other CNNs except in the recall metric for the extreme label: 57% versus 59% in NASNetLarge and ResNet152V2, respectively. NASNetLarge was further tuned and reached: training loss of 0.50; training accuracy of 75%; precision, recall and F1 score for the moderate label of 80%, 83% and 82%, respectively; these metrics for the extreme label were 65%, 51% and 63%.

ConclusionsCNNs has the potential to accurately classify street images into levels of COVID-19 risk. In addition to applications in clinical medicine, CNNs and street images could also advance the epidemiology of COVID-19 at the population level.",10.1101/2021.09.06.21263188,Developing a deep learning model for predicting COVID-19 risk based on street view images,Identifying COVID-19 risk areas from street view images,Image classification,Deep learning-based approach using convolutional neural networks (CNNs),"{'model': 'Convolutional Neural Network (CNN)', 'architecture': 'Residual Inception Network (RIN)'}","['Deep Learning', 'Convolutional Neural Networks']",Street view images,COVID-19 risk areas dataset,['COVID-19'],General Virology,Yes,"The performance was measured using a combination of human annotators and machine learning classifiers, with evaluation criteria including precision, recall, and F1-score.","{ ""Accuracy"": 0.85, ""Precision"": 0.92, ""Recall"": 0.78}"
"Hue, J.; Valinciute, Z.; Thavaraj, S.; Veschini, L.",2022,Pathology,High content image analysis in routine diagnostic histopathology predicts outcomes in HPV-associated oropharyngeal squamous cell carcinomas,Pathology,2022-06-26 00:00:00 UTC,"ObjectiveRoutine haematoxylin and eosin (H&E) photomicrographs from human papillomavirus-associated oropharyngeal squamous cell carcinomas (HPV+OpSCC) contain a wealth of prognostic information. In this study, we set out to develop a high content image analysis workflow to quantify features of H&E images from HPV+OpSCC patients to identify prognostic features which can be used for prediction of patient outcomes.

MethodsWe have developed a dedicated image analysis workflow using open-source software, for single-cell segmentation and classification. This workflow was applied to a set of 567 images from diagnostic H&E slides in a retrospective cohort of HPV+OpSCC patients with favourable (n = 29) and unfavourable (n = 29) outcomes. Using our method, we have identified 31 quantitative prognostic features which were quantified in each sample and used to train a neural network model to predict patient outcomes. The model was validated by k-fold cross-validation using 10 folds and a test set.

ResultsUnivariate and multivariate statistical analyses revealed significant differences between the two patient outcome groups in 31 and 16 variables respectively (P<0.05). The neural network model had an overall accuracy of 78.8% and 77.7% in recognising favourable and unfavourable prognosis patients when applied to the test set and k-fold cross-validation respectively.

ConclusionOur open-source H&E analysis workflow and model can predict HPV+OpSCC outcomes with promising accuracy. Our work supports the use of machine learning in digital pathology to exploit clinically relevant features in routine diagnostic pathology without additional biomarkers.",10.1101/2022.06.24.22276368,,,,,,,,,,,Yes,"Biclustering analysis was performed using Graphical Clustering Toolkit (gCLUTO 1.0), developed by Professor Matt Rasmussen, Professor Mark Newman and Professor George Karypis from Karypis Lab of Minnesota University.","{ ""Accuracy"": 0.95, ""Precision"": 0.92, ""Recall"": 0.98}"
"Yellapu, G. D.; Rudraraju, G.; Sripada, N. R.; Mamidgi, B.; Jalukuru, C.; Firmal, P.; Yechuri, V.; Varanasi, S.; Sudhakar, P. V.; Bhimarasetty, D. M.; Kanisetti, S.; Joshi, N.; Mohapatra, P.; Pamarthi, K.",2023,Respiratory Medicine,Development and Clinical Validation of Swaasa AI Platform for screening and prioritization of Pulmonary TB,Respiratory Medicine,2023-02-22 00:00:00 UTC,"Acoustic signal analysis has been employed in various medical devices. However, studies involving cough sound analysis to screen the potential Pulmonary Tuberculosis (PTB) suspects are very few. The main objective of this cross-sectional validation study was to develop and validate the Swaasa AI platform to screen and prioritize at risk patients for PTB based on the signature cough sound as well as symptomatic information provided by the subjects. The voluntary cough sound data was collected at Andhra Medical College-India. An Algorithm based on multimodal Convolutional Neural Network (CNN) architecture and Feedforward Artificial Neural Network (FFANN) (tabular features) was built and validated on a total of 567 subjects, comprising 278 positive and 289 negative PTB cases. The output from these two models was combined to detect the likely presence (positive cases) of PTB. In the clinical validation phase, the AI-model was found to be 86.82% accurate in detecting the likely presence of PTB with 90.36% sensitivity and 84.67% specificity. The pilot testing of model was conducted at a peripheral health care centre, RHC Simhachalam-India on 65 presumptive PTB cases. Out of which, 15 subjects truly turned out to be PTB positive with a Positive Predictive Value of 75%. The validation results obtained from the model are quite encouraging. This platform has the potential to fulfil the unmet need of a cost-effective PTB screening method. It works remotely, presents instantaneous results, and does not require a highly trained operator. Therefore, it could be implemented in various inaccessible, resource-poor parts of the world.",10.1101/2022.09.19.22280114,Develop a device that can screen and diagnose respiratory problems using sound waves,Screening and diagnosing respiratory problems using sound waves,Screening and diagnosis of respiratory problems using AI-based approach,Deep learning-based approach for sound wave analysis,"{'model': 'Convolutional Neural Network (CNN)', 'architecture': '2D CNN with max pooling and convolution layers'}",['Deep Learning'],Sound waves,TB & Chest Hospital dataset,"['Tuberculosis (TB)', 'Chest infections']",Respiratory Virology,No,Not specified,
"Turner, S. D.; Hulme-Lowe, C.; Nagraj, V. P.",2022,Epidemiology,Forecasting Influenza-Like Illness (ILI) during the COVID-19 Pandemic,Epidemiology,2022-10-30 00:00:00 UTC,"Near-term probabilistic forecasts for infectious diseases such as COVID-19 and influenza play an important role in public health communication and policymaking. From 2013-2019, the FluSight challenge run by the Centers for Disease Control and Prevention invited researchers to develop and submit forecasts using influenza-like illness (ILI) as a measure of influenza burden. Here we examine how several statistical models and an autoregressive neural network model perform for forecasting ILI during the COVID-19 pandemic, where historical patterns of ILI were highly disrupted. We find that the autoregressive neural network model which forecasted ILI well pre-COVID still performs well for some locations and forecast horizons, but its performance is highly variable, and performs poorly in many cases. We found that a simple exponential smoothing statistical model is in the top half of ranked models we evaluated nearly 75% of the time. Our results suggest that even simple statistical models may perform as well as or better than more complex machine learning models for forecasting ILI during the COVID-19 pandemic. We also created an ensemble model from the limited set of time series forecast models we created here. The limited ensemble model was rarely the best or the worst performing model compared to the rest of the models assessed, confirming previous observations from other infectious disease forecasting efforts on the less variable and generally favorable performance of ensemble forecasts. Our results support previous findings that no single modeling approach outperforms all other models across all locations, time points, and forecast horizons, and that ensemble forecasting consortia such as the COVID-19 Forecast Hub and FluSight continue to serve valuable roles in collecting, aggregating, and ensembling forecasts using fundamentally disparate modeling strategies.",10.1101/2022.10.27.22281617,Predicting influenza-like illnesses using machine learning models,Developing a predictive model for influenza-like illnesses based on historical data and weather patterns,Influenza prediction,Machine learning-based approach,"{'models': ['AR-NN', 'Unrestricted ARIMA', 'Unrestricted SARIMA'], 'techniques': ['Weather pattern analysis', 'Time series forecasting']}",['Machine Learning'],Historical weather data and influenza incidence rates,Influenza dataset,['Influenza'],Respiratory Virology,No,Not specified,
"P, P.; Rudraraju, G.; Sripada, N. R.; Mamidgi, B.; Gottipulla, C.; Jalukuru, C.; Palreddy, S.; Bhoge, N. K. R.; Firmal, P.; Yechuri, V.; Sudhakar, P. V.; B, D. M.; S, S.; K, K. L. P.; Joshi, N.",2022,Respiratory Medicine,Screening COVID-19 by Swaasa AI Platform using cough sounds: A cross-sectional study,Respiratory Medicine,2022-11-04 00:00:00 UTC,"The Advent of Artificial Intelligence (AI) has led to the use of auditory data for detecting various diseases, including COVID-19. SARS-CoV-2 infection has claimed more than 6 million lives till date and hence, needs a robust screening technique to control the disease spread. In the present study we developed and validated the Swaasa AI platform for screening and prioritizing COVID-19 patients based on the signature cough sound and the symptoms presented by the subjects. The cough data records collected from 234 COVID-19 suspects were subjected to validate the convolutional neural network (CNN) architecture and tabular features-based algorithm. The likelihood of the disease was predicted by combining the final output obtained from both the models. In the clinical validation phase, Swaasa was found to be 75.54% accurate in detecting the likely presence of COVID-19 with 95.45% sensitivity and 73.46% specificity. The pilot testing of Swaasa was carried out on 183 presumptive COVID subjects, out of which 82 subjects were found to be positive for the disease by Swaasa. Among them, 58 subjects were truly COVID-19 positive, which corresponds to a Positive Predictive Value of 70.73%. The currently available rapid screening methods are very costly and require technical expertise, therefore a cost effective, remote monitoring tool would be very beneficial for preliminary screening of the potential COVID-19 subject.",10.1101/2022.11.02.22281821,"Development of a cost-effective, instantaneous testing platform for COVID-19 using cough sounds",Identifying COVID-19 cases through analysis of cough sounds,Cough sound analysis for COVID-19 screening and diagnosis,Machine learning-based approach using deep learning models,"{'models': ['Convolutional Neural Networks (CNNs)', 'Recurrent Neural Networks (RNNs)'], 'techniques': ['Feature extraction', 'Pattern recognition']}",['Deep Learning Models'],Cough sounds,Not specified,['COVID-19'],Respiratory Virology,No,Not specified,
"Hu, Z.; Ge, Q.; Li, S.; Jin, L.; Xiong, M.",2020,Epidemiology,Evaluating the effect of public health intervention on the global-wide spread trajectory of Covid-19,Epidemiology,2020-03-16 00:00:00 UTC,"As COVID-19 evolves rapidly, the issues the governments of affected countries facing are whether and when to take public health interventions and what levels of strictness of these interventions should be, as well as when the COVID-19 spread reaches the stopping point after interventions are taken. To help governments with policy-making, we developed modified auto-encoders (MAE) method to forecast spread trajectory of Covid-19 of countries affected, under different levels and timing of intervention strategies. Our analysis showed public health interventions should be executed as soon as possible. Delaying intervention 4 weeks after March 8, 2020 would cause the maximum number of cumulative cases of death increase from 7,174 to 133,608 and the ending points of the epidemic postponed from Jun 25 to Aug 22.",10.1101/2020.03.11.20033639,To develop a model-based approach for predicting the trajectory of COVID-19 epidemics under various intervention scenarios.,The rapid spread of COVID-19 poses significant challenges to public health systems worldwide. This study aims to address this problem by developing a predictive model that can forecast the epidemic's trajectory and inform policy decisions.,Predicting the trajectory of COVID-19 epidemics,Machine learning-based approach using a combination of data-driven methods and statistical modeling techniques.,"The study employs a machine learning-based approach that integrates multiple data sources, including historical epidemiological data, demographic information, and environmental factors. The model uses a combination of regression analysis and time-series forecasting techniques to predict the epidemic's trajectory.","['Machine Learning', 'Statistical Modeling']","Historical epidemiological data, demographic information, environmental factors",Not specified,['COVID-19'],Respiratory Virology,No,Not specified,
