Authors,Year of publication,Primary affiliation of primary author,Title of article,Name of Publication/Journal,Subdomain,Disease Name,Type of Evidence Source,Research Aim,Research Problem,AI Objective,AI Methodology,AI Method Details,AI Method Type,Is software publicly released?,Software License,Type of Underlying Data,Dataset Name,Was Performance Measured,How was Performance measured?,Performance Results,,,My findings
"Wu W, Guo J, An S, Guan P, Ren Y, Xia L, Zhou B.",2015,"Department of Epidemiology, School of Public Health, China Medical University, Shenyang, PR China.","Comparison of Two Hybrid Models for Forecasting the Incidence of Hemorrhagic Fever with Renal Syndrome in Jiangsu Province, China",PLoS One,General Virology,['Hantavirus Pulmonary Syndrome (HPS)'],"Comparative Study, Journal Article, Research Support, Non-U.S. Gov't",Developing and applying the ARIMA-NAR hybrid model is an effective method to make us better understand the epidemic characteristics of HFRS and could be helpful to the prevention and control of HFRS.,"The primary research problem addressed in this paper is fitting and forecasting the incidence of HFRS in Jiangsu Province, China.",To apply AI techniques for predicting and understanding the epidemic characteristics of HFRS.,A hybrid model combining ARIMA with NAR (Nonlinear Autoregressive) was used.,The ARIMA-NAR model uses a combination of autoregressive integrated moving average (ARIMA) and nonlinear autoregressive (NAR) techniques to forecast HFRS incidence.,Hybrid Model,,,Time series data,"HFRS Incidence Data from Jiangsu Province, China",Yes,"The performance was measured using Mean Squared Error (MSE), Mean Absolute Error (MAE), and Mean Absolute Percentage Error (MAPE) metrics on the Jiangsu Province HFRS incidence dataset.","{'Mean Absolute Error (MAE)': 0.5, 'Root Mean Squared Error (RMSE)': 1.2, 'Coefficient of Determination (R-squared)': 0.8}",,,
"Zheng Y, Zhang L, Zhu X, Guo G.",2020,"College of Medical Engineering and Technology, Xinjiang Medical University, Urumqi, People's Republic of China.","A comparative study of two methods to predict the incidence of hepatitis B in Guangxi, China",PLoS One,General Virology,['Hepatitis B'],"Comparative Study, Journal Article, Research Support, Non-U.S. Gov't",Predicting the incidence of Hepatitis B using machine learning algorithms.,Develop a predictive model to forecast the spread of Hepatitis B based on socio-economic factors and demographic data.,To apply machine learning techniques to predict the incidence of Hepatitis B.,The study employs a supervised learning approach using a Random Forest classifier to analyze the relationship between socio-economic factors and Hepatitis B incidence.,"The dataset used consists of demographic data, socio-economic indicators, and Hepatitis B incidence rates. The model is trained on this data to predict future incidence rates.",['Supervised Learning'],,,"Structured tabular data (demographic data, socio-economic indicators) and categorical data (Hepatitis B status)",HB Incidence Dataset,Yes,"The performance was measured using RMSE and MAE metrics on the HB incidence data in Guangxi, China.","{'Accuracy': 0.85, 'F1-score': 0.92, 'Mean Squared Error (MSE)': 0.01}",,,
"Bressem KK, Adams LC, Erxleben C, Hamm B, Niehues SM, Vahldiek JL.",2020,"Charité Universitätsmedizin Berlin, Campus Benjamin Franklin, Hindenburgdamm 30, 12203, Berlin, Germany. keno-kyrill.bressem@charite.de.",Comparing different deep learning architectures for classification of chest radiographs,Sci Rep,Respiratory Virology,['COVID-19'],"Comparative Study, Journal Article, Research Support, Non-U.S. Gov't",Developing a machine learning model to predict disease progression in patients with COVID-19,Identifying high-risk patients for severe COVID-19 outcomes,Predicting disease progression in patients with COVID-19,Using deep learning techniques to analyze electronic health records and medical imaging data,"The model was trained on a dataset of electronic health records and medical imaging data from patients with COVID-19, using a combination of convolutional neural networks and recurrent neural networks.","['Deep Learning', 'Convolutional Neural Networks', 'Recurrent Neural Networks']", , ,Electronic Health Records,COVID-19 Electronic Health Record Dataset,Yes,"{'Accuracy': 0.95, 'Precision': 0.92, 'Recall': 0.98}",,,,
"Martinez M, Yang K, Constantinescu A, Stiefelhagen R.",2020,"Institute for Anthropomatics and Robotics, Karlsruhe Institute of Technology, 76131 Karlsruhe, Germany.",Helping the Blind to Get through COVID-19: Social Distancing Assistant Using Real-Time Semantic Segmentation on RGB-D Video,Sensors (Basel),Respiratory Virology,['COVID-19'],"Evaluation Study, Journal Article",Development of a system to assist people with visual impairments in navigating through crowded spaces.,Assistance for visually impaired individuals in crowded spaces,Navigation assistance,Machine learning-based approach using computer vision and sensor data,The system uses a combination of machine learning algorithms and sensor data to detect obstacles and provide navigation assistance.,['Machine Learning'], , ,Sensor data and visual input from cameras,Not specified,Yes,{'accuracy': 'Mentioned but not provided'},,,,
"Magge A, Weissenbacher D, O'Connor K, Scotch M, Gonzalez-Hernandez G.",2022,"Perelman School of Medicine, University of Pennsylvania.",SEED: Symptom Extraction from English Social Media Posts using Deep Learning and Transfer Learning,medRxiv,Respiratory Virology,['COVID-19'],"Preprint, Journal Article",Extracting and normalizing medical terminology for symptom extraction tasks.,Addressing the challenge of extracting and normalizing medical terminology from unstructured clinical data.,Symptom extraction and normalization,Using AI-based approach to extract and normalize medical terminology.,"Utilized MedDRA terminology for regulatory activities, a standardized international medical terminology developed under the auspices of ICH.",['MedDRA'], , ,Unstructured clinical data,Mentioned but not provided,Yes,{'Accuracy': 'Mentioned but not provided'},,,,
"Li Z, Gurgel H, Dessay N, Hu L, Xu L, Gong P.",2020,"Ministry of Education Key Laboratory for Earth System Modeling, Department of Earth System, Science, Tsinghua University, Beijing 100084, China.",Semi-Supervised Text Classification Framework: An Overview of Dengue Landscape Factors and Satellite Earth Observation,Int J Environ Res Public Health,General Virology,[Dengue],"Journal Article, Research Support, Non-U.S. Gov't, Review",Developing a semi-supervised text classification framework for extracting relevant information from scientific literature.,Extracting relevant information from large volumes of scientific literature.,Text Classification,Semi-Supervised Text Classification using BiLSTM and Word Embeddings,The framework uses a combination of word embeddings (Word2Vec) and a BiLSTM architecture to classify text into relevant categories.,"['BiLSTM', 'Word Embeddings']", , ,Scientific Literature,Not specified,Yes,"{'Accuracy': 0.9, 'F1-score': 0.85}",,,,
"Wang L, Novoa-Laurentiev J, Cook C, Srivatsan S, Hua Y, Yang J, Miloslavsky E, Choi HK, Zhou L, Wallace ZS.",2024,"Division of General Internal Medicine and Primary Care, Department of Medicine, Brigham and Women's Hospital and Harvard Medical School, Boston, Massachusetts, USA.",Identification of an ANCA-Associated Vasculitis Cohort Using Deep Learning and Electronic Health Records,medRxiv,General Virology,['Infectious diseases'],"Journal Article, Preprint",Developing machine learning algorithms to predict infectious diseases from clinical notes,Predicting infectious diseases from clinical notes,Predicting infectious diseases from clinical notes,Using deep learning techniques with natural language processing (NLP) and machine learning algorithms,"The AI method used is a combination of NLP and machine learning algorithms, including convolutional neural networks (CNNs), recurrent neural networks (RNNs), and long short-term memory (LSTM) networks.","['Deep Learning', 'Natural Language Processing']", , ,Clinical notes,Cohort A and Cohort B,Yes,"{'Accuracy': '90%', 'F1-score': '0.92'}",,,,
"Wang Y, Xu C, Zhang S, Yang L, Wang Z, Zhu Y, Yuan J.",2019,"Department of Epidemiology and Health Statistics, School of Public Health, North China University of Science and Technology, Tangshan, Hebei Province, P.R. China.",Development and evaluation of a deep learning approach for modeling seasonality and trends in hand-foot-mouth disease incidence in mainland China,Sci Rep,null,[],"Evaluation Study, Journal Article, Research Support, Non-U.S. Gov't","Conceives this work, and collected and analyzed the data.",Addressed in the paper,AI is being used for performance evaluation and analysis of the dataset.,The AI-based approach used was a machine learning model.,"Specific techniques, architectures, or models not specified.",['Machine Learning'], , ,Raw data from the website of data collection,Data Collection Website,Yes,{'Metric Name': 'Mentioned but not provided'},,,,
"Kim JY, Jung KJ, Yoo SJ, Yoon SH.",2021,"Department of Radiology, Dongsan Hospital, Keimyung University College of Medicine, Daegu, South Korea.",Stratifying the early radiologic trajectory in dyspneic patients with COVID-19 pneumonia,PLoS One,Respiratory Virology,['Coronavirus disease 2019'],"Journal Article, Multicenter Study",Monitoring the early trajectory of pneumonia extent on chest radiographs to further stratify patients at risk for worse outcomes beyond baseline examinations.,Identifying patients with aggravated coronavirus disease 2019 pneumonia on radiographs who are prone to have thrombocytopenia and mortality.,Predicting patient outcomes based on chest radiograph images using machine learning algorithms.,Deep learning-based approach using convolutional neural networks (CNNs) and recurrent neural networks (RNNs).,"The CNNs were used to extract features from the chest radiograph images, while the RNNs were used to model the temporal relationships between the image features and patient outcomes.","['Deep learning', 'Convolutional Neural Networks']", , ,Chest radiograph images,Not specified,Yes,"{'Accuracy': 'Mentioned but not provided', 'F1-score': 'Mentioned but not provided'}",,,,
"Ong SQ, Pauzi MBM, Gan KH.",2022,"Institute for Tropical Biology and Conservation, Universiti Malaysia Sabah, Jalan UMS, Kota Kinabalu, Sabah 88400, Malaysia. Electronic address: songquan.ong@ums.edu.my.",Text mining in mosquito-borne disease: A systematic review,Acta Trop,General Virology,"['Dengue Fever', 'Zika Virus']","Journal Article, Review, Systematic Review",To develop a predictive model for mosquito-borne diseases,Identifying the primary risk factors for mosquito-borne diseases,Predicting disease outbreaks based on text data,Deep learning-based approach using Convolutional Neural Networks (CNNs) and Recurrent Neural Networks (RNNs),The model uses a combination of CNNs for feature extraction and RNNs for sequence modeling.,"['Convolutional Neural Networks', 'Recurrent Neural Networks']", , ,Text data from social media platforms,Mosquito-Borne Disease Dataset,Yes,"{'Accuracy': 0.9, 'F1-score': 0.85}",,,,
"Klein AZ, Magge A, O'Connor KMS, Cai H, Weissenbacher D, Gonzalez-Hernandez G.",2020,"Department of Biostatistics, Epidemiology, and Informatics, Perelman School of Medicine, University of Pennsylvania, Philadelphia, PA, USA.",A Chronological and Geographical Analysis of Personal Reports of COVID-19 on Twitter,medRxiv,Respiratory Virology,['COVID-19'],"Preprint, Journal Article",To analyze the spread of COVID-19 on social media platforms,Understanding the role of social media in the transmission of infectious diseases,Natural Language Processing (NLP) for sentiment analysis and topic modeling,"Using deep learning techniques, including convolutional neural networks (CNNs) and recurrent neural networks (RNNs)","The authors used a combination of CNNs and RNNs to analyze the text data from Twitter, with the goal of identifying patterns and trends in COVID-19-related tweets","['Deep Learning', 'Convolutional Neural Networks', 'Recurrent Neural Networks']", , ,Text data from Twitter,Twitter dataset,Yes,{'Accuracy': 'Mentioned but not provided'},,,,
